feature,p_value,p_adj
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Choladocola,5.288266428397856e-12,5.792381545871297e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658,5.544587394023369e-12,6.016904097958694e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA11540,5.836934574922576e-12,6.276043414503907e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__SIG693,5.907873961006889e-12,6.29457116572734e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__RUG472,7.268896214428338e-12,7.674906633612624e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1933,7.348825911283248e-12,7.690021400021398e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1212;f__UBA1255;g__UMGS1851,7.512038667702275e-12,7.791247184554926e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFJ001,9.618380289716426e-12,9.888369911883904e-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-1024,1.0265727184572137e-11,1.0141315407933898e-9
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__Aphodomorpha,1.0088086332103437e-11,1.0141315407933898e-9
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1774,1.0254579229077717e-11,1.0141315407933898e-9
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__RGIG4130,1.0046404610067055e-11,1.0141315407933898e-9
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__JAAZKA01,1.0297069398840733e-11,1.0141315407933898e-9
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C,1.0451622398644372e-11,1.020775120934267e-9
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA1390;g__NSJ-32,1.0794880599965173e-11,1.0455867820792713e-9
